modelId,brandId,brandName,modelName,vehicleClassCodes,status,publishable,providerLane,providerMake,providerModelFamily,providerModelYear,exactMatchReview,currentImageUrl,targetAssetPath,requestedPaintDescription,requestedAngle,requestedZoomType,requestedFileType,requestedWidth
vehicle-bmw-4,brand-bmw,宝马,4系,passenger_car,approved,true,owned_reviewed_asset,宝马,4系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-4.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-4.webp,white,28,relative,webp,800
vehicle-bmw-6,brand-bmw,宝马,6系,passenger_car,approved,true,owned_reviewed_asset,宝马,6系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-6.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-6.webp,white,28,relative,webp,800
vehicle-bmw-7,brand-bmw,宝马,7系,passenger_car,approved,true,owned_reviewed_asset,宝马,7系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-7.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-7.webp,white,28,relative,webp,800
vehicle-bmw-8,brand-bmw,宝马,8系,passenger_car,approved,true,owned_reviewed_asset,宝马,8系,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-8.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-8.webp,white,28,relative,webp,800
vehicle-bmw-x1,brand-bmw,宝马,X1,passenger_car,approved,true,owned_reviewed_asset,宝马,X1,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x1.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x1.webp,white,28,relative,webp,800
vehicle-bmw-x2,brand-bmw,宝马,X2,passenger_car,approved,true,owned_reviewed_asset,宝马,X2,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x2.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x2.webp,white,28,relative,webp,800
vehicle-bmw-x4,brand-bmw,宝马,X4,passenger_car,approved,true,owned_reviewed_asset,宝马,X4,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x4.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x4.webp,white,28,relative,webp,800
vehicle-bmw-x5,brand-bmw,宝马,X5,passenger_car,approved,true,owned_reviewed_asset,宝马,X5,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x5.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x5.webp,white,28,relative,webp,800
vehicle-bmw-x6,brand-bmw,宝马,X6,passenger_car,approved,true,owned_reviewed_asset,宝马,X6,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x6.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x6.webp,white,28,relative,webp,800
vehicle-bmw-x7,brand-bmw,宝马,X7,passenger_car,approved,true,owned_reviewed_asset,宝马,X7,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x7.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-x7.webp,white,28,relative,webp,800
vehicle-bmw-z4,brand-bmw,宝马,Z4,passenger_car,approved,true,owned_reviewed_asset,宝马,Z4,,passed,/assets/used-cars/owner-presentation-v2/vehicle-bmw-z4.webp,/assets/used-cars/owner-presentation-v2/vehicle-bmw-z4.webp,white,28,relative,webp,800
